feature_1,feature_3,feature_4,feature_5,category_1,category_2,target,feature_6_7_8_pca
0.4967141530112327,-0.6485206725100179,0.8330046694770674,0.784919779304796,Above Average,Region C,1,-3.402879163143694
0.6476885381006925,-0.7641258928268811,1.7082660799040026,-0.2500293741272332,High,Region C,1,2.697960790939654
1.5230298564080254,-2.461653292153637,2.649051034771259,0.8822013813101157,High,Region B,1,5.2747065799643424
-0.2341533747233359,0.5760965733185425,-0.4416563010523425,0.6106010173187437,Below Average,Region C,0,0.17908069915055802
-0.2341369569491805,0.2689719928095543,-0.7027746358154815,0.7022826384818066,Below Average,Region A,0,-0.6266558007320546
1.5792128155073917,-2.885133360949986,3.3127081801005835,0.8647075886499744,High,Region A,1,3.0515154696095967
0.7674347291529088,-1.4458769658736443,1.4110696421503186,0.8740025312281618,High,Region A,1,1.7191429319017038
0.5425600435859647,-0.4033833582543737,1.4561645956077411,-0.7446245764456663,High,Region C,1,3.6837119768971074
-0.4634176928124622,0.9654696283774608,-0.9637071366380372,0.3817498871426306,Below Average,Region B,0,-3.5844919936587956
-0.4657297535702568,1.1857530540520278,-1.3862359076777109,0.1264279132742847,Below Average,Region B,0,0.28109994806849237
-1.913280244657798,2.709495125609422,-3.85699326343972,0.3688990135540313,Low,Region B,0,-1.8105779584921247
-1.7249178325130328,2.5308306908419005,-3.772178196628234,-0.8760062453681565,Low,Region B,0,-0.4105878147983383
-0.5622875292409727,0.7200473165622975,-1.4737921131480514,-0.9055833670082332,Low,Region B,1,2.3802259729983373
-1.0128311203344238,1.317793498911313,-2.0581058310434592,-0.2913788315964798,Low,Region A,0,-0.20020356408073497
0.3142473325952739,-1.0238194116938484,-0.1626752580024102,-0.6123067531356783,Above Average,Region C,0,4.195079089383093
-0.9080240755212108,1.3576117978767637,-1.997110010247566,0.4371121014751549,Low,Region A,0,5.027008494382322
-1.4123037013352917,1.732785873889604,-2.2631987700589997,0.8960436758163841,Low,Region B,0,4.85292426928614
1.465648768921554,-2.208724717842629,2.901737045315401,0.323254827369251,High,Region B,1,0.18711003124885422
-0.2257763004865356,0.9733956935986988,-0.020812458627389,0.3095687342551276,Below Average,Region A,1,-1.8886894712515738
0.0675282046879238,-0.2540958359310983,0.3626431839816467,-0.9868088531608336,Above Average,Region A,0,-0.06935905977317638
-1.4247481862134568,2.1955544810086054,-2.3163527326565587,0.0245539434492603,Low,Region B,0,3.202415772366801
-0.5443827245251827,1.088568602530559,-1.2553292096405886,0.6342026403503189,Low,Region A,0,3.2969888958587994
